Item,Date submitted,Reference number,Expected response by,Amount claimed (£),Status,Notes
Council Tax band challenge,,,,,Not started,VOA review — neighbour-check first; comparable addresses listed in notes column
Single Person Discount,,,,,Not started,Backdate to date became sole adult occupier; max 6 years
Severe Mental Impairment exemption,,,,,Not started,Need GP-signed certificate plus qualifying benefit confirmation
Marriage Allowance (current year),,,,,Not started,Lower earner applies via gov.uk/marriage-allowance
Marriage Allowance (backdated 2021–22),,,,,Not started,Tick all 4 backdate years on the same form
Marriage Allowance (backdated 2022–23),,,,,Not started,
Marriage Allowance (backdated 2023–24),,,,,Not started,
Marriage Allowance (backdated 2024–25),,,,,Not started,
Working from Home tax relief,,,,,Not started,Pre-Apr 2022 only; form P87 if over £1k
Uniform / tools tax relief,,,,,Not started,Trade-specific flat rate; backdate 4 years
Higher-rate pension top-up,,,,,Not started,Self-Assessment or letter to HMRC; only if relief-at-source pension
Tax-Free Childcare,,,,,Not started,Reconfirm every 3 months — set calendar reminder
Free childcare hours,,,,,Not started,Apply 1 term ahead of when you want to start
Pension Credit,,,,,Not started,Phone 0800 99 1234 — backdate 3 months explicitly
Attendance Allowance,,,,,Not started,Form AA1 — get Citizens Advice / Age UK help
PIP,,,,,Not started,Phone 0800 917 2222 — describe bad days
Carer's Allowance,,,,,Not started,Check interaction with cared-for person's benefits first
Warm Home Discount,,,,,Not started,Apply with energy supplier from October
Cold Weather Payment,,,,,Not started,Automatic — only chase if no payment after 14 days of qualifying spell
Section 75 (transaction 1),,,,,Not started,Card / merchant / amount in notes
Energy supplier credit balance refund,,,,,Not started,Submit fresh meter reading first
Mis-sold packaged bank account,,,,,Not started,Escalate to FOS after 8 weeks if rejected
